ID3_NULL_FRAME_TYPE|NULL|||Id3MarshalNull
ID3_ATTACHEDPIC|ATTACHEDPIC|APIC|APIC|Id3MarshalPicture
ID3_GENERALOBJ|GENERALOBJ|GEOB|GEOB|Id3MarshalGenObj
ID3_PASSTHROUGH|PASSTHROUGH|PTRU|PTRU|Id3MarshalPassthrough
ID3_SYNCEDLYRICS|SYNCEDLYRICS|SYLT|SYLT|Id3MarshalPassthrough
ID3_TEXT_GENERIC|TEXT_GENERIC|TEXT|TEXT|Id3MarshalText
ID3_TXXX_GENERIC|TXXX|TXXX|TXXX|Id3MarshalUText
ID3_WURL_GENERIC|WURL_GENERIC|WURL|WURL|Id3MarshalURL
ID3_ACOUSTID_ID|ACOUSTID_ID|TXXX:Acoustid Id|TXXX:Acoustid Id|Id3MarshalUText
ID3_ACOUSTID_FINGERPRINT|ACOUSTID_FINGERPRINT|TXXX:Acoustid Fingerprint|TXXX:Acoustid Fingerprint|Id3MarshalUText
ID3_ALBUM|ALBUM|TALB|TALB|Id3MarshalText
ID3_ALBUMSORT|ALBUMSORT|TSOA|TSOA|Id3MarshalText
ID3_ALBUMARTIST|ALBUMARTIST|TPE2|TPE2|Id3MarshalText
ID3_ALBUMARTISTSORT|ALBUMARTISTSORT|TSO2|TSO2|Id3MarshalText
ID3_ARTIST|ARTIST|TPE1|TPE1|Id3MarshalText
ID3_ARTISTSORT|ARTISTSORT|TSOP|TSOP|Id3MarshalText
ID3_BARCODE|BARCODE|TXXX:BARCODE|TXXX:BARCODE|Id3MarshalUText
ID3_BPM|BPM|TBPM|TBPM|Id3MarshalText
ID3_CATALOGNUMBER|CATALOGNUMBER|TXXX:CATALOGNUMBER|TXXX:CATALOGNUMBER|Id3MarshalUText
ID3_COMMENT|COMMENT|COMM|COMM|Id3MarshalComment
ID3_COMPILATION|COMPILATION|TCMP|TCMP|Id3MarshalText
ID3_COMPOSER|COMPOSER|TCOM|TCOM|Id3MarshalText
ID3_COMPOSERSORT|COMPOSERSORT|TSOC|TSOC|Id3MarshalText
ID3_CONDUCTOR|CONDUCTOR|TPE3|TPE3|Id3MarshalText
ID3_CONTENTGROUP|CONTENTGROUP|TIT1|TIT1|Id3MarshalText
ID3_COPYRIGHT|COPYRIGHT|TCOP|TCOP|Id3MarshalText
ID3_DATE|DATE|TDAT|TXXX:DATE|Id3MarshalUText
ID3_DESCRIPTION|DESCRIPTION|||Id3MarshalText
ID3_DISCNUMBER|DISCNUMBER|TPOS|TPOS|Id3MarshalText
ID3_ENCODEDBY|ENCODEDBY|TENC|TENC|Id3MarshalText
ID3_ENCODERSETTINGS|ENCODERSETTINGS|TSSE|TSSE|Id3MarshalText
ID3_ENCODINGTIME|ENCODINGTIME||TDEN|Id3MarshalText
ID3_FILEOWNER|FILEOWNER|TOWN|TOWN|Id3MarshalText
ID3_FILETYPE|FILETYPE|TFLT|TFLT|Id3MarshalText
ID3_GENRE|GENRE|TCON|TCON|Id3MarshalText
ID3_GROUPING|GROUPING|GRP1|GRP1|Id3MarshalText
ID3_INITIALKEY|INITIALKEY|TKEY|TKEY|Id3MarshalText
ID3_INVOLVEDPEOPLE|INVOLVEDPEOPLE|IPLS|TIPL|Id3MarshalPVList
ID3_ISRC|ISRC|TSRC|TSRC|Id3MarshalText
ID3_LANGUAGE|LANGUAGE|TLAN|TLAN|Id3MarshalText
ID3_LENGTH|LENGTH|TLEN|TLEN|Id3MarshalText
ID3_LYRICIST|LYRICIST|TEXT|TEXT|Id3MarshalText
ID3_MEDIATYPE|MEDIATYPE|TMED|TMED|Id3MarshalText
ID3_MIXARTIST|MIXARTIST|TPE4|TPE4|Id3MarshalText
ID3_MOOD|MOOD||TMOO|Id3MarshalText
ID3_MOVEMENTNAME|MOVEMENTNAME|MVNM|MVNM|Id3MarshalText
ID3_MOVEMENT|MOVEMENT|MVIN|MVIN|Id3MarshalText
ID3_MOVEMENTTOTAL|MOVEMENTTOTAL|MVIN|MVIN|Id3MarshalText
ID3_MUSICBRAINZ_ALBUMARTISTID|MUSICBRAINZ_ALBUMARTISTID|TXXX:MusicBrainz Album Artist Id|TXXX:MusicBrainz Album Artist Id|Id3MarshalUText
ID3_MUSICBRAINZ_ALBUMID|MUSICBRAINZ_ALBUMID|TXXX:MusicBrainz Album Id|TXXX:MusicBrainz Album Id|Id3MarshalUText
ID3_MUSICBRAINZ_ALBUMRELEASECOUNTRY|MUSICBRAINZ_ALBUMRELEASECOUNTRY|TXXX:MusicBrainz Album Release Country|TXXX:MusicBrainz Album Release Country|Id3MarshalUText
ID3_MUSICBRAINZ_ALBUMSTATUS|MUSICBRAINZ_ALBUMSTATUS|TXXX:MusicBrainz Album Status|TXXX:MusicBrainz Album Status|Id3MarshalUText
ID3_MUSICBRAINZ_ALBUMTYPE|MUSICBRAINZ_ALBUMTYPE|TXXX:MusicBrainz Album Type|TXXX:MusicBrainz Album Type|Id3MarshalUText
ID3_MUSICBRAINZ_ARTISTID|MUSICBRAINZ_ARTISTID|TXXX:MusicBrainz Artist Id|TXXX:MusicBrainz Artist Id|Id3MarshalUText
ID3_MUSICBRAINZ_DISCID|MUSICBRAINZ_DISCID|TXXX:MusicBrainz Disc Id|TXXX:MusicBrainz Disc Id|Id3MarshalUText
ID3_MUSICBRAINZ_ORIGINALALBUMID|MUSICBRAINZ_ORIGINALALBUMID|TXXX:MusicBrainz Original Album Id|TXXX:MusicBrainz Original Album Id|Id3MarshalUText
ID3_MUSICBRAINZ_ORIGINALARTISTID|MUSICBRAINZ_ORIGINALARTISTID|TXXX:MusicBrainz Original Artist Id|TXXX:MusicBrainz Original Artist Id|Id3MarshalUText
ID3_MUSICBRAINZ_RELEASEGROUPID|MUSICBRAINZ_RELEASEGROUPID|TXXX:MusicBrainz Release Group Id|TXXX:MusicBrainz Release Group Id|Id3MarshalUText
ID3_MUSICBRAINZ_RELEASETRACKID|MUSICBRAINZ_RELEASETRACKID|TXXX:MusicBrainz Release Track Id|TXXX:MusicBrainz Release Track Id|Id3MarshalUText
